       l       b       nec     Fc     dc     rc   edge type name
0    55.280   2.930   0.060 100.00  1.300  0.010    0    P 1920+21         
0    55.330  -3.500   0.010  25.00  0.700  0.010    0    P 1944+17         
0    55.570   0.640   0.110 100.00  1.390  0.010    0    P 1929+20         
0    55.610  -3.000   0.160 100.00  5.120  0.010    0    P 1943+18         
0    55.780   3.500   0.010  25.00  0.560  0.010    0    P 1919+21         
0    61.110 -16.840   0.010 100.00  1.210  0.010    0    P 2044+15         
0    65.010 -27.310   0.789   0.00  2.000  0.010    0    P M15             
0    65.920   0.770   0.010  10.00  0.360  0.010    0    P 1952+29         
0    68.100  -3.980   0.010  30.00  0.620  0.010    0    P 2016+28         
0    68.770   2.820   0.030  30.00  1.580  0.010    0    P 1951+32         
0    74.600  -8.040   0.900  20.00  2.350  0.010    0    X 2048+313        
0    83.870 -64.080   0.120   0.00  0.460  0.010    0    P 2347-0612       
0    85.430   2.110  10.000  20.00  2.000  0.010    0    P 2044+46         
0    86.080  23.820   0.010  40.00  0.840  0.010    0    P 1839+56         
0    86.140 -21.730   0.500   1.00  2.000  0.020    0    P B2210+29        
0    90.370   7.308   5.000  20.00  2.000  0.010    0    P 2036+53         
0    90.490 -11.340   0.010 100.00  1.560  0.010    0    P 2154+40         
0    91.330  52.290   0.010 100.00  0.490  0.010    0    P 1508+55         
0    91.360 -42.360   0.420   0.00  0.580  0.010    0    P 2317+1439       
0    95.830 -36.070   0.280   0.00  0.570  0.010    0    P 2315+21         
0    97.720 -26.660   0.010 100.00  1.420  0.010    0    P 2303+30         
0    98.380  -7.600   0.230   0.00  1.170  0.010    0    P 2217+47          
0   109.870   2.102   0.600  20.00  0.600  0.020    0    G CepA            
0   110.420 -69.810   0.140   0.00  0.240  0.010    0    P 0031-07         
0   111.540   0.774   0.500  20.00  3.400  0.020    0    G NGC7538         
0   133.950   1.058  10.000 320.00  2.200  0.020    0    G W3OH            
0   135.700   2.400   0.900  20.00  2.200  0.010    0    X 0241+622        
0   148.190   0.810   2.0   0.015   0.90   0.010    0    P 0355+54-HII
#### NEW/REVISED CLUMPS IN NE2025 ####
0  -179.057  65.296   0.609  0.0    3.302  0.01     0   PX 1105+37
0  -175.120  -1.730   1.6    0.0    0.48   0.02     0   PX 0557+2442_P-HII
0  -164.824  -40.525  1.14   0.0    4.617  0.01     0   PX 0357-05        
0  -158.892   8.258   0.497  0.06   0.144  0.01     0    P 0659+1414    
0  -155.729   2.20    5.0    13.0  1.508   0.025    0  MPX 0646+0905    
0  -150.96   -19.5    1.7    0.0    0.437  0.02     0   PX 0529-0715-HII 
0  -149.587  -9.305   0.40    0.0   0.288  0.01     0    P 0613-0200         
0  -148.925 -32.629   0.1   57.0    1.634  0.01     0    P 0450-1248    
0  -146.296  -12.606  0.493  0.19   0.61   0.05     0    P 0601-0527-HII
0  -143.773  -22.957  1.1    0.0    7.692  0.01     0   PX 0534-13 
0  -138.742  50.98    0.731  0.0    3.861  0.01     0   PX 1010+15
0  -132.253  -18.184  1.964   0.0   0.685  0.01     0    P 0610-2100                         
0  -122.999  -12.645  2.688  0.0    0.500  0.01     1   PX 0648-27    
0  -121.683  -16.551  4.257 0.00075 0.167  0.006    0   MP 0630-2834     
0  -121.066  -5.826   6.091  0.0    0.500  0.01     1   PX 0719-2545   
0  -112.547   9.799   0.80   0.0    0.500  0.01     1   PX 0837-24        
0  -106.068  20.138   0.855  0.0    0.5    0.01     1   PX 0930-2301  
0  -100.000  -1.000   0.430   0.71  0.500  0.145    1    P GumI         
0   -97.200   2.700   0.500   1.20  0.500  0.032    1    P GumII           
0   -96.750  -9.000   4.000   1.90  0.300  0.044    0    P VelaIras 
0  -99.81    -18.723  1.474  0.0    0.500  0.01     1   PX 0702-4956    
0  -92.884   -1.193   5.906  0.0    1.24   0.01     0   PX 0855-4658-HII         
0  -91.298   12.033   0.62   0.0    0.5    0.01     1   PX 0952-3839  
0  -74.564   0.008   12.859  0.0    3.75   0.007    0   PX 1032-5804-HII
0  -60.957    0.186   4.8    0.0    9.88   0.028    0  MPX G299.043+0.186-HII     
0  -55.540   -3.460   0.55   3.9    6.580  0.09     1   PX 1306-6617
0  -54.6     -1.0     2.1    1.50   4.7    0.123    0  MPX G305-HII   
0  -54.152   0.191    2.1   50.00   4.7    0.01     0    P 1316-6232-HII   
0  -48.15    -0.54    2.2    0.0    1.5    0.02     0  MPX RCW83-HII    
0  -39.89   -0.51     0.72  130.0  0.93    0.027    0   MP 1522-5829-HII         
0  -39.326  -25.65    2.042  0.0    6.93   0.01     0   PX 1846-7403 
0  -23.171  -0.375    3.40   0.0    1.9    0.03     0  MPX G336.829-0.375-HII
0  -15.0      1.1     0.5   50.0    1.6    0.14     0   MP Gum55-HII  
0  -9.0      24.0     2.00   0.010  0.136  0.011    1    P 1614-2230-HII    
0  -3.459   -7.766    2.65   0.0   11.102  0.01     0   PX 1809-3547      
0  -1.66     -1.85    0.780  0.0    1.5    0.068    0    P Ter6-HII  
0   -0.056   -0.046   10.0   52.0  2.400  0.0038   0    P 1745-2900a 
0   2.794    -49.466  0.13   0.5    0.083  0.01     0    P 2144-3933      
0   7.0       23.5    1.85   1.1    0.112  0.0135   1   MP 1623-0908-HII
0   14.794   9.18     0.04   5.5    0.2    0.01     0    P 1744-1134     
0   27.456   75.728   5.806  0.0   3.096   0.01     0   PX 1354+2453
0   27.657    2.272   1.586  1.2    1.61   0.053    0    P 1833-0338      
